"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
9.227905280E-1	3.019757569E-4	1.553900540E-2	-9.412765503E-4	1.557041681E-2
9.278564460E-1	2.021083236E-2	-4.925072193E-3	-2.825069427E-2	3.508326963E-2
9.329223640E-1	-6.349004805E-3	-9.748414159E-3	8.781433105E-3	1.457583644E-2
9.379882810E-1	1.474450901E-2	-6.327137351E-3	3.601551056E-2	3.942778480E-2
9.430541990E-1	7.184501737E-3	5.439803004E-3	3.333473206E-2	3.453133191E-2
9.481201170E-1	-2.025395259E-2	-7.777422667E-3	5.756378174E-3	2.244653177E-2
9.532165530E-1	-7.042728364E-3	2.856567502E-3	8.066177368E-3	1.108256369E-2
9.582824710E-1	1.306049526E-3	-1.410101354E-2	1.156330109E-2	1.828262236E-2
9.633483890E-1	-1.415404677E-2	-2.035276592E-2	6.706237793E-3	2.568162273E-2
9.684143070E-1	-3.575619310E-3	-1.941005886E-2	-4.915046692E-2	5.296511906E-2
9.734802250E-1	-2.623539418E-3	4.121765494E-3	-5.232143402E-2	5.254906629E-2
9.785766600E-1	-8.963558823E-3	2.466976643E-3	8.645057678E-3	1.269521102E-2
9.836425780E-1	-1.009304076E-3	-1.532003284E-3	5.605983734E-2	5.608984838E-2
9.887390140E-1	7.901143283E-3	-1.841068268E-3	-9.709358215E-3	1.265263745E-2
9.938049320E-1	-6.986644119E-3	9.939312935E-3	-1.795578003E-2	2.167978723E-2
9.988708500E-1	1.272697747E-2	1.329891384E-2	-3.205013275E-2	3.696008758E-2
1.003936768E0	3.226119652E-2	1.430664957E-2	-6.145954132E-2	7.087129350E-2
1.009002686E0	8.137151599E-4	2.496440709E-2	-6.451797485E-2	6.918419496E-2
1.014068604E0	-7.737871259E-3	1.902161539E-2	-5.209922791E-2	5.600023261E-2
1.019134522E0	-1.144953817E-2	-4.784807563E-3	-1.961517334E-2	2.321080207E-2
1.024230957E0	3.857512027E-3	-7.026225328E-3	-2.836227417E-3	8.502495361E-3
1.029296875E0	-1.045923680E-3	2.276304364E-2	1.499748230E-2	2.727956355E-2
1.034362793E0	-3.530628979E-3	2.384743094E-2	1.962566376E-2	3.108588074E-2
1.039428711E0	8.362174034E-3	-9.553432465E-3	3.134155273E-2	3.381548394E-2
1.044494629E0	-2.729054913E-2	-1.050922275E-2	-1.403903961E-2	3.243936602E-2
1.049560547E0	-1.984737813E-3	2.059154212E-2	3.891944885E-3	2.104989373E-2
1.054656983E0	-5.242533982E-3	3.287494183E-4	1.098918915E-2	1.218008690E-2
1.059722901E0	-1.332823187E-3	8.727088571E-3	4.650497437E-2	4.733551662E-2
1.064788819E0	1.247193664E-3	1.107187569E-2	2.001762390E-2	2.290954364E-2
1.069854737E0	1.200942695E-2	3.233554959E-2	8.459091187E-4	3.450405288E-2
1.074920655E0	-5.863755941E-3	-6.078630686E-3	-1.933574677E-2	2.109986938E-2
1.079986573E0	-1.528183371E-2	-1.564371586E-2	6.940841675E-3	2.294418381E-2
1.085083008E0	6.302718073E-3	-2.743884921E-2	4.506111145E-3	2.851174738E-2
1.090148926E0	2.524166182E-2	4.828676581E-3	2.093315125E-3	2.578448326E-2
1.095214844E0	-4.673000425E-3	3.531739116E-3	3.254890442E-3	6.701076476E-3
1.100280762E0	8.513141423E-3	-1.560117304E-2	1.035308838E-2	2.056834014E-2
1.105346680E0	-5.758758634E-3	-1.430082321E-2	3.400802612E-2	3.733929145E-2
1.110412598E0	-1.760404930E-2	1.192583144E-2	1.353931427E-2	2.520795585E-2
1.115478516E0	-1.039633900E-2	4.756644368E-3	2.530574799E-2	2.776851475E-2
1.120574951E0	-5.573414266E-3	-2.961306274E-2	-2.120590210E-2	3.684680061E-2
1.125640869E0	1.102157310E-2	-2.216058969E-2	-5.593299866E-3	2.537423521E-2
1.130706787E0	-1.173308492E-2	1.243861020E-2	1.581859589E-2	2.329403960E-2
1.135772705E0	9.613871574E-3	-4.237726331E-3	1.450634003E-2	1.791141402E-2
1.140838623E0	3.485474735E-3	-7.613673806E-3	-1.292419434E-2	1.539971955E-2
1.145929099E0	4.518926144E-3	1.266229153E-2	1.212024689E-2	1.810123490E-2
1.151025535E0	9.166210890E-3	3.059461713E-3	8.447647095E-3	1.283520430E-2
1.156091453E0	3.271358460E-2	2.315805852E-2	-1.417064667E-2	4.251213379E-2
1.161157371E0	9.812612087E-3	-9.108364582E-3	1.086902618E-2	1.724486566E-2
1.166223289E0	2.554070204E-3	-4.291057587E-3	2.858829498E-2	2.902114849E-2
1.171289207E0	4.724852741E-3	-1.392249763E-2	3.424644470E-3	1.509597176E-2
1.176355125E0	-1.555208489E-2	-9.116455913E-3	2.199172974E-3	1.816076746E-2
1.181451560E0	-8.274674416E-3	5.046874285E-4	3.376960754E-3	8.951469713E-3
1.186517478E0	-2.240775153E-2	-3.116950393E-3	3.420162201E-2	4.100699521E-2
1.191583396E0	6.259083748E-3	-1.621149480E-2	2.917957306E-2	3.396227579E-2
1.196649314E0	1.326792687E-2	6.356433034E-3	2.893352509E-2	3.245906650E-2
1.201715232E0	1.308915392E-2	-5.569055676E-3	-8.108139038E-3	1.637321746E-2
1.206781150E0	-1.439851522E-2	7.526233792E-3	-1.041603088E-2	1.929909674E-2
1.211847068E0	-1.914655790E-2	3.934308887E-3	6.285667419E-3	2.053239101E-2
1.216912986E0	4.689615220E-3	8.746504784E-3	-1.157474518E-2	1.524691978E-2
1.221978904E0	-1.910815760E-2	-1.270157099E-2	-7.906913757E-3	2.426872221E-2
1.227044822E0	1.294543594E-2	-1.922518015E-3	4.021644592E-3	1.369138461E-2
1.232110740E0	-1.443930715E-2	1.826958358E-2	1.229572296E-2	2.633355423E-2
1.237176658E0	-7.884576917E-5	1.428574324E-4	1.694107056E-2	1.694185635E-2
1.242242576E0	1.889814064E-2	8.387222886E-3	-5.762100220E-3	2.146362100E-2
1.247308494E0	1.872349903E-2	9.503409266E-3	-5.714416504E-3	2.176094574E-2
1.252404929E0	-2.176889032E-2	1.663090289E-2	-3.289222717E-3	2.759149330E-2
1.257470847E0	-2.505590022E-2	-2.144582570E-2	-1.394367218E-2	3.580708825E-2
1.262536765E0	7.342100143E-3	-6.558001041E-5	-7.715225220E-4	7.382816688E-3
1.267602683E0	1.211976632E-2	1.168507338E-2	2.297496796E-2	2.848295680E-2
1.272668601E0	6.278261542E-3	-3.368109465E-4	1.417160034E-3	6.445025382E-3
